"['Hour', 'Derated ET', 'Temperature', 'Humidity']"
"[6, 0.0, 75.19999999999993, 55.236363636363635]"
"[7, 0.0, 74.30404494381963, 55.412359550561796]"
"[8, 0.0, 74.68230088495501, 55.27101769911504]"
"[9, 0.0, 75.10672546857647, 54.339581036383684]"
"[10, 0.005704523604775547, 74.80930232558006, 54.24252491694352]"
"[11, 0.006803174675963349, 74.83232323232251, 54.17508417508417]"
"[12, 0.014672500139194765, 74.91745334796816, 54.340285400658615]"
"[13, 0.013965199349250485, 75.11937290033477, 53.568868980963046]"
